Timestamp,RSSI,SNR,SpreadingFactor,Bandwidth,Coding Rage,Frequency,PreambleLength,PacketLength,TransmitterLat,TransmitterLon,ReceiverLat,ReceiverLon,GPSDistance,DistanceEstimate
6602,-62,9.75,7,125000,5,2752,8,0,32.231733,-110.953052,32.231813,-110.953075,9.17,39.14
7604,-63,9.50,7,125000,5,2752,8,0,32.231733,-110.953052,32.231813,-110.953075,9.17,50.55
8606,-64,9.50,7,125000,5,2752,8,0,32.231733,-110.953052,32.231815,-110.953074,9.29,50.55
9602,-64,9.50,7,125000,5,2752,8,0,32.231733,-110.953052,32.231816,-110.953073,9.39,46.42
10487,-64,9.45,7,125000,5,2752,8,0,32.231733,-110.953052,32.231817,-110.953073,9.54,50.55
10603,-64,9.38,7,125000,5,2752,8,0,32.231733,-110.953052,32.231817,-110.953073,9.54,46.42
11487,-64,9.29,7,125000,5,2752,8,0,32.231733,-110.953052,32.231818,-110.953071,9.64,55.05
12488,-64,9.28,7,125000,5,2752,8,0,32.231733,-110.953052,32.231819,-110.953070,9.69,59.95
13489,-64,9.31,7,125000,5,2752,8,0,32.231733,-110.953052,32.231819,-110.953068,9.66,39.14
14496,-64,9.30,7,125000,5,2752,8,0,32.231733,-110.953052,32.231820,-110.953068,9.74,46.42
15486,-64,9.25,7,125000,5,2752,8,0,32.231733,-110.953052,32.231821,-110.953066,9.81,50.55
16487,-64,9.25,7,125000,5,2752,8,0,32.231733,-110.953052,32.231822,-110.953064,9.94,42.62
18489,-64,9.27,7,125000,5,2752,8,0,32.231733,-110.953052,32.231816,-110.953061,9.22,65.29
19486,-65,9.20,7,125000,5,2752,8,0,32.231733,-110.953052,32.231807,-110.953049,8.18,77.43
19601,-66,9.02,7,125000,5,2752,8,0,32.231733,-110.953052,32.231807,-110.953049,8.18,118.60
20605,-66,9.00,7,125000,5,2752,8,0,32.231733,-110.953052,32.231796,-110.953042,7.05,42.62
21614,-66,8.93,7,125000,5,2752,8,0,32.231733,-110.953052,32.231777,-110.953040,4.99,91.83
22615,-66,8.95,7,125000,5,2752,8,0,32.231733,-110.953052,32.231763,-110.953036,3.62,42.62
23488,-67,8.88,7,125000,5,2752,8,0,32.231733,-110.953052,32.231754,-110.953034,2.91,77.43
23604,-67,8.90,7,125000,5,2752,8,0,32.231733,-110.953052,32.231754,-110.953034,2.91,35.94
24495,-66,8.90,7,125000,5,2752,8,0,32.231733,-110.953052,32.231744,-110.953032,2.23,30.30
25492,-66,8.93,7,125000,5,2752,8,0,32.231733,-110.953052,32.231733,-110.953030,2.14,33.00
26492,-64,8.90,7,125000,5,2752,8,0,32.231733,-110.953052,32.231723,-110.953031,2.31,19.78
27492,-62,9.02,7,125000,5,2752,8,0,32.231733,-110.953052,32.231714,-110.953031,2.93,9.18
28495,-58,9.23,7,125000,5,2752,8,0,32.231733,-110.953052,32.231707,-110.953033,3.47,5.99
31488,-55,9.32,7,125000,5,2752,8,0,32.231733,-110.953052,32.231702,-110.953038,3.76,3.59
32488,-52,9.52,7,125000,5,2752,8,0,32.231733,-110.953052,32.231704,-110.953036,3.59,3.59
32604,-49,9.55,7,125000,5,2752,8,0,32.231733,-110.953052,32.231704,-110.953036,3.59,3.59
33604,-45,9.65,7,125000,5,2752,8,0,32.231733,-110.953052,32.231705,-110.953035,3.54,3.59
34602,-42,9.68,7,125000,5,2752,8,0,32.231733,-110.953052,32.231705,-110.953037,3.42,2.56
35604,-39,9.73,7,125000,5,2752,8,0,32.231733,-110.953052,32.231704,-110.953040,3.44,3.03
36490,-36,9.73,7,125000,5,2752,8,0,32.231733,-110.953052,32.231704,-110.953041,3.46,3.03
36606,-34,9.73,7,125000,5,2752,8,0,32.231733,-110.953052,32.231704,-110.953041,3.46,3.03
37486,-33,9.70,7,125000,5,2752,8,0,32.231733,-110.953052,32.231701,-110.953047,3.60,3.03
38491,-32,9.70,7,125000,5,2752,8,0,32.231733,-110.953052,32.231700,-110.953049,3.72,3.03
39490,-32,9.70,7,125000,5,2752,8,0,32.231733,-110.953052,32.231703,-110.953033,3.81,3.30
40489,-33,9.65,7,125000,5,2752,8,0,32.231733,-110.953052,32.231702,-110.953017,4.77,7.74
41487,-35,9.57,7,125000,5,2752,8,0,32.231733,-110.953052,32.231703,-110.953007,5.37,16.68
42488,-37,9.55,7,125000,5,2752,8,0,32.231733,-110.953052,32.231710,-110.952998,5.75,27.83
44497,-39,9.52,7,125000,5,2752,8,0,32.231733,-110.953052,32.231712,-110.952967,8.34,12.92
45495,-41,9.50,7,125000,5,2752,8,0,32.231733,-110.953052,32.231715,-110.952950,9.90,15.32
45616,-43,9.50,7,125000,5,2752,8,0,32.231733,-110.953052,32.231715,-110.952950,9.90,16.68
46615,-45,9.45,7,125000,5,2752,8,0,32.231733,-110.953052,32.231710,-110.952928,11.99,21.54
47616,-47,9.38,7,125000,5,2752,8,0,32.231733,-110.953052,32.231707,-110.952901,14.56,18.17
48615,-49,9.35,7,125000,5,2752,8,0,32.231733,-110.953052,32.231704,-110.952882,16.40,12.92
49495,-51,9.32,7,125000,5,2752,8,0,32.231733,-110.953052,32.231702,-110.952862,18.24,12.92
50494,-52,9.25,7,125000,5,2752,8,0,32.231733,-110.953052,32.231701,-110.952844,19.87,19.78
51494,-52,9.25,7,125000,5,2752,8,0,32.231733,-110.953052,32.231701,-110.952828,21.41,19.78
52494,-52,9.18,7,125000,5,2752,8,0,32.231733,-110.953052,32.231700,-110.952815,22.65,21.54
53493,-52,9.02,7,125000,5,2752,8,0,32.231733,-110.953052,32.231700,-110.952799,24.12,21.54
54494,-53,9.00,7,125000,5,2752,8,0,32.231733,-110.953052,32.231702,-110.952787,25.16,25.55
55492,-54,9.00,7,125000,5,2752,8,0,32.231733,-110.953052,32.231699,-110.952773,26.52,30.30
57495,-54,9.05,7,125000,5,2752,8,0,32.231733,-110.953052,32.231698,-110.952750,28.73,46.42
58493,-55,9.07,7,125000,5,2752,8,0,32.231733,-110.953052,32.231701,-110.952736,29.97,25.55
58614,-56,9.10,7,125000,5,2752,8,0,32.231733,-110.953052,32.231701,-110.952736,29.97,23.46
59612,-57,9.00,7,125000,5,2752,8,0,32.231733,-110.953052,32.231703,-110.952721,31.34,33.00
60615,-57,9.07,7,125000,5,2752,8,0,32.231733,-110.953052,32.231705,-110.952709,32.40,23.46
61614,-58,9.10,7,125000,5,2752,8,0,32.231733,-110.953052,32.231709,-110.952695,33.76,35.94
62492,-58,9.13,7,125000,5,2752,8,0,32.231733,-110.953052,32.231711,-110.952682,34.94,25.55
62612,-59,9.27,7,125000,5,2752,8,0,32.231733,-110.953052,32.231711,-110.952682,34.94,42.62
63492,-59,9.27,7,125000,5,2752,8,0,32.231733,-110.953052,32.231715,-110.952671,35.93,30.30
64494,-59,9.27,7,125000,5,2752,8,0,32.231733,-110.953052,32.231718,-110.952653,37.61,55.05
65494,-59,9.27,7,125000,5,2752,8,0,32.231733,-110.953052,32.231723,-110.952636,39.15,30.30
66492,-59,9.30,7,125000,5,2752,8,0,32.231733,-110.953052,32.231730,-110.952624,40.33,27.83
67494,-59,9.27,7,125000,5,2752,8,0,32.231733,-110.953052,32.231736,-110.952606,42.01,25.55
68494,-59,9.38,7,125000,5,2752,8,0,32.231733,-110.953052,32.231739,-110.952586,43.83,30.30
70494,-60,9.35,7,125000,5,2752,8,0,32.231733,-110.953052,32.231741,-110.952554,46.87,50.55
71491,-60,9.38,7,125000,5,2752,8,0,32.231733,-110.953052,32.231736,-110.952538,48.42,46.42
