Timestamp,RSSI,SNR,SpreadingFactor,Bandwidth,Coding Rage,Frequency,PreambleLength,PacketLength,TransmitterLat,TransmitterLon,ReceiverLat,ReceiverLon,GPSDistance,DistanceEstimate
6249,-53,9.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231797,-110.953109,12.14,11.86
7133,-51,10.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231784,-110.953119,11.12,10.00
7249,-60,9.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231784,-110.953119,11.12,21.54
8133,-58,9.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231778,-110.953130,11.01,18.17
8249,-60,9.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231778,-110.953130,11.01,21.54
9133,-54,9.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231780,-110.953139,11.71,12.92
9249,-63,9.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231780,-110.953139,11.71,27.83
10129,-63,10.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231774,-110.953139,11.24,27.83
10244,-73,9.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231774,-110.953139,11.24,65.29
11128,-70,10.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231768,-110.953134,10.40,50.55
11243,-66,9.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231768,-110.953134,10.40,35.94
12130,-66,10.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231770,-110.953124,10.06,35.94
12246,-70,9.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231770,-110.953124,10.06,50.55
13128,-71,10.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231769,-110.953110,9.28,55.05
13243,-69,9.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231769,-110.953110,9.28,46.42
14129,-68,9.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231760,-110.953095,7.80,42.62
14244,-69,9.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231760,-110.953095,7.80,46.42
15129,-69,9.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231752,-110.953081,6.61,46.42
15244,-70,9.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231752,-110.953081,6.61,50.55
16127,-72,9.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231744,-110.953065,5.58,59.95
16243,-68,10.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231744,-110.953065,5.58,42.62
17129,-69,9.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231743,-110.953051,5.70,46.42
17245,-74,9.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231743,-110.953051,5.70,71.10
18127,-73,9.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231740,-110.953035,5.97,65.29
18242,-73,9.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231740,-110.953035,5.97,65.29
19131,-72,9.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231736,-110.953015,6.74,59.95
19247,-79,7.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231736,-110.953015,6.74,108.90
20128,-81,4.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231729,-110.952994,7.90,129.15
20244,-76,8.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231729,-110.952994,7.90,84.32
21133,-76,9.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231732,-110.952984,8.87,84.32
21249,-75,8.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231732,-110.952984,8.87,77.43
22130,-72,8.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231732,-110.952959,10.99,59.95
22246,-75,8.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231732,-110.952959,10.99,77.43
23131,-77,8.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231735,-110.952942,12.60,91.83
23246,-77,7.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231735,-110.952942,12.60,91.83
24133,-79,8.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231754,-110.952941,13.63,108.90
24248,-76,7.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231754,-110.952941,13.63,84.32
25133,-81,1.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231745,-110.952922,14.77,129.15
25248,-81,8.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231745,-110.952922,14.77,129.15
26132,-74,9.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231732,-110.952898,16.48,71.10
26248,-80,8.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231732,-110.952898,16.48,118.60
27133,-78,9.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231728,-110.952876,18.38,100.00
27249,-81,6.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231728,-110.952876,18.38,129.15
28132,-86,-2.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231717,-110.952849,20.61,197.83
28248,-81,7.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231717,-110.952849,20.61,129.15
29133,-80,8.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231712,-110.952829,22.45,118.60
29249,-83,7.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231712,-110.952829,22.45,153.17
30133,-80,8.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231718,-110.952820,23.39,118.60
30248,-80,7.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231718,-110.952820,23.39,118.60
31133,-78,8.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231715,-110.952806,24.61,100.00
31249,-81,8.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231715,-110.952806,24.61,129.15
32133,-81,8.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231716,-110.952794,25.79,129.15
32248,-72,6.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231716,-110.952794,25.79,59.95
33133,-77,5.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231708,-110.952771,27.92,91.83
33249,-79,5.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231708,-110.952771,27.92,108.90
34248,-72,9.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231709,-110.952748,30.03,59.95
35133,-69,9.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231714,-110.952730,31.81,46.42
35248,-75,4.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231714,-110.952730,31.81,77.43
36133,-78,2.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231709,-110.952710,33.57,100.00
36248,-75,7.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231709,-110.952710,33.57,77.43
37133,-75,8.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231715,-110.952700,34.57,77.43
37249,-74,8.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231715,-110.952700,34.57,71.10
38131,-74,8.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231711,-110.952681,36.37,71.10
38247,-77,6.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231711,-110.952681,36.37,91.83
39140,-75,7.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231699,-110.952651,39.18,77.43
39262,-70,10.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231699,-110.952651,39.18,50.55
40140,-71,10.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231691,-110.952620,42.05,55.05
40261,-73,6.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231691,-110.952620,42.05,65.29
41141,-77,8.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231697,-110.952611,42.94,91.83
41262,-76,8.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231697,-110.952611,42.94,84.32
42138,-78,8.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231699,-110.952595,44.35,100.00
42253,-92,-2.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231699,-110.952595,44.35,330.00
43140,-75,2.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231696,-110.952575,46.29,77.43
43260,-80,8.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231696,-110.952575,46.29,118.60
44133,-86,5.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231698,-110.952559,47.78,197.83
44249,-86,8.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231698,-110.952559,47.78,197.83
45140,-81,8.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231699,-110.952532,50.36,129.15
45261,-86,4.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231699,-110.952532,50.36,197.83
46139,-87,3.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231703,-110.952513,52.15,215.44
46260,-78,9.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231703,-110.952513,52.15,100.00
47140,-85,7.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231700,-110.952491,54.15,181.66
47261,-86,2.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231700,-110.952491,54.15,197.83
48135,-85,4.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231705,-110.952478,55.41,181.66
48250,-86,7.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231705,-110.952478,55.41,197.83
49136,-78,9.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231710,-110.952464,56.73,100.00
49251,-90,6.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231710,-110.952464,56.73,278.26
50138,-90,5.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231709,-110.952439,59.13,278.26
50259,-84,7.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231709,-110.952439,59.13,166.81
51139,-90,5.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231709,-110.952427,60.22,278.26
51260,-83,2.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231709,-110.952427,60.22,153.17
52137,-91,1.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231707,-110.952410,61.77,303.03
52258,-79,9.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231707,-110.952410,61.77,108.90
53140,-78,9.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231701,-110.952390,63.71,100.00
53261,-85,6.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231701,-110.952390,63.71,181.66
54139,-85,7.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231701,-110.952366,65.89,181.66
54259,-86,7.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231701,-110.952366,65.89,197.83
55138,-83,8.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231699,-110.952342,68.20,153.17
55259,-76,9.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231699,-110.952342,68.20,84.32
56139,-82,8.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231695,-110.952326,69.67,140.65
56260,-83,9.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231695,-110.952326,69.67,153.17
57139,-87,8.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231694,-110.952308,71.38,215.44
57260,-84,9.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231694,-110.952308,71.38,166.81
58138,-87,7.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231688,-110.952293,72.76,215.44
58258,-87,3.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231688,-110.952293,72.76,215.44
59140,-85,6.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231686,-110.952276,74.41,181.66
59260,-88,7.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231686,-110.952276,74.41,234.62
60139,-83,6.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231685,-110.952259,75.97,153.17
60260,-89,-1.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231685,-110.952259,75.97,255.51
61141,-85,5.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231679,-110.952241,77.68,181.66
61262,-89,5.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231679,-110.952241,77.68,255.51
62138,-93,3.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231681,-110.952224,79.35,359.38
62258,-86,6.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231681,-110.952224,79.35,197.83
63138,-81,8.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231678,-110.952207,80.89,129.15
63259,-89,6.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231678,-110.952207,80.89,255.51
64139,-85,3.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231678,-110.952190,82.51,181.66
64260,-88,3.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231678,-110.952190,82.51,234.62
65135,-91,2.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231697,-110.952194,82.13,303.03
65251,-83,7.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231697,-110.952194,82.13,153.17
66133,-82,9.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231699,-110.952180,83.46,140.65
66249,-80,7.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231699,-110.952180,83.46,118.60
67134,-82,8.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231705,-110.952170,84.38,140.65
67249,-84,7.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231705,-110.952170,84.38,166.81
68134,-83,8.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231709,-110.952160,85.33,153.17
68249,-85,8.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231709,-110.952160,85.33,181.66
69134,-87,9.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231716,-110.952153,85.99,215.44
69249,-90,7.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231716,-110.952153,85.99,278.26
70133,-86,5.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231718,-110.952140,87.19,197.83
70248,-84,7.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231718,-110.952140,87.19,166.81
71131,-83,8.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231715,-110.952123,88.85,153.17
71246,-92,6.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231715,-110.952123,88.85,330.00
72134,-83,9.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231717,-110.952108,90.27,153.17
72249,-88,7.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231717,-110.952108,90.27,234.62
73132,-89,8.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231718,-110.952091,91.83,255.51
73247,-84,8.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231718,-110.952091,91.83,166.81
74132,-84,9.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231719,-110.952080,92.89,166.81
74247,-89,7.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231719,-110.952080,92.89,255.51
75133,-87,8.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231715,-110.952064,94.34,215.44
75248,-83,9.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231715,-110.952064,94.34,153.17
76133,-91,8.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231713,-110.952049,95.73,303.03
76248,-86,8.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231713,-110.952049,95.73,197.83
77133,-86,8.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231714,-110.952033,97.25,197.83
77248,-100,-1.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231714,-110.952033,97.25,652.85
78133,-88,8.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231718,-110.952020,98.56,234.62
78248,-90,5.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231718,-110.952020,98.56,278.26
79134,-88,7.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231702,-110.951996,100.71,234.62
79249,-81,9.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231702,-110.951996,100.71,129.15
80140,-81,8.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231687,-110.951982,102.01,129.15
80261,-88,3.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231687,-110.951982,102.01,234.62
81140,-88,1.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231692,-110.951962,103.92,234.62
81262,-84,7.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231692,-110.951962,103.92,166.81
82249,-81,8.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231692,-110.951948,105.30,129.15
83140,-91,4.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231687,-110.951931,106.89,303.03
83262,-91,1.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231687,-110.951931,106.89,303.03
84260,-88,4.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231685,-110.951911,108.72,234.62
85248,-86,1.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231685,-110.951896,110.18,197.83
86133,-85,2.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231693,-110.951886,111.13,181.66
86248,-85,-1.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231693,-110.951886,111.13,181.66
88133,-88,2.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231694,-110.951866,112.98,234.62
88249,-87,5.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231694,-110.951866,112.98,215.44
89134,-87,6.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231702,-110.951861,113.47,215.44
89250,-82,7.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231702,-110.951861,113.47,140.65
90132,-83,8.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231709,-110.951849,114.59,153.17
90248,-81,6.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231709,-110.951849,114.59,129.15
91249,-83,4.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231707,-110.951826,116.74,153.17
92133,-89,-3.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231704,-110.951815,117.80,255.51
92249,-88,4.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231704,-110.951815,117.80,234.62
93134,-92,0.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231709,-110.951805,118.75,330.00
93249,-92,3.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231709,-110.951805,118.75,330.00
94133,-92,4.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231711,-110.951783,120.77,330.00
94248,-92,-5.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231711,-110.951783,120.77,330.00
95134,-87,-1.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231708,-110.951763,122.70,215.44
95249,-86,-6.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231708,-110.951763,122.70,197.83
96133,-84,-0.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231709,-110.951751,123.82,166.81
96248,-87,2.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231709,-110.951751,123.82,215.44
97133,-91,0.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231713,-110.951737,125.13,303.03
97249,-89,-0.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231713,-110.951737,125.13,255.51
98133,-91,0.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231715,-110.951728,126.00,303.03
98248,-86,-3.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231715,-110.951728,126.00,197.83
99134,-91,-1.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231720,-110.951713,127.34,303.03
99249,-90,-2.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231720,-110.951713,127.34,278.26
100132,-86,-4.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231713,-110.951687,129.85,197.83
100247,-87,-1.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231713,-110.951687,129.85,215.44
101133,-84,4.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231713,-110.951672,131.20,166.81
101249,-84,3.75,7,125000,5,2752,8,0,32.231694,-110.953067,32.231713,-110.951672,131.20,166.81
102135,-86,2.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231709,-110.951654,132.89,197.83
102251,-84,3.00,7,125000,5,2752,8,0,32.231694,-110.953067,32.231709,-110.951654,132.89,166.81
103133,-87,2.25,7,125000,5,2752,8,0,32.231694,-110.953067,32.231711,-110.951641,134.10,215.44
103248,-85,0.50,7,125000,5,2752,8,0,32.231694,-110.953067,32.231711,-110.951641,134.10,181.66
